age_group,occupation,gender,smartphone_type,screen_time,daily_app_categories,most_used_category,ad_frequency,frequent_ad_format,most_excessive_ad_category,ads_interrupt_usage,ads_cause_frustration,ads_reduce_enjoyment,ads_close_app,ads_uninstall_app,tolerated_ad_format,most_annoying_ad_time,pay_for_adfree,ads_interrupt_usage_score,ads_cause_frustration_score,ads_reduce_enjoyment_score,ads_close_app_score,ad_fatigue_index
25–34,Working professional,Female,Android,2–4 hours,"Video / OTT, News / Reading, Education","Shopping / E-commerce, News / Reading, Utility / Tools, Education",Very often,Unskippable ads,News / Reading,Disagree,Neutral,Agree,Disagree,No,,Morning,No,2.0,3.0,4.0,2.0,2.75
35–44,Working professional,Male,Android,4–6 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Video / OTT, Gaming, Education",Sometimes,Video ads,Shopping / E-commerce,Disagree,Disagree,Strongly agree,Agree,Yes,Banner ads,Late night,Yes,2.0,2.0,5.0,4.0,3.25
45+,Self-employed,Female,Android,2–4 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Video / OTT, Gaming, News / Reading, Utility / Tools",Rarely,Banner ads,Video / OTT,Strongly disagree,Agree,Neutral,Disagree,No,Skippable video ads,Late night,Yes,1.0,4.0,3.0,2.0,2.5
45+,Student,Female,iOS,Less than 2 hours,"Video / OTT, Utility / Tools","Social Media, Video / OTT, Gaming, News / Reading",Often,Sponsored posts,Shopping / E-commerce,Strongly disagree,Agree,Agree,Strongly disagree,Yes,Skippable video ads,Morning,Yes,1.0,4.0,4.0,1.0,2.5
25–34,Other,Female,Android,2–4 hours,"Gaming, Shopping / E-commerce, Utility / Tools","Video / OTT, Shopping / E-commerce, Education",Rarely,Unskippable ads,Gaming,Strongly agree,Neutral,Strongly disagree,Strongly agree,No,,Afternoon,No,5.0,3.0,1.0,5.0,3.5
35–44,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, News / Reading, Utility / Tools, Education",Often,Unskippable ads,Video / OTT,Strongly disagree,Neutral,Agree,Strongly disagree,Yes,Sponsored content,Late night,No,1.0,3.0,4.0,1.0,2.25
35–44,Self-employed,Female,iOS,4–6 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading",Very often,Rewarded ads,News / Reading,Strongly agree,Strongly disagree,Strongly disagree,Agree,Yes,Rewarded ads,Afternoon,No,5.0,1.0,1.0,4.0,2.75
Below 18,Working professional,Female,iOS,More than 6 hours,"Gaming, News / Reading, Utility / Tools",News / Reading,Often,Unskippable ads,Education,Disagree,Strongly agree,Strongly disagree,Strongly disagree,No,Rewarded ads,Morning,No,2.0,5.0,1.0,1.0,2.25
Below 18,Self-employed,Female,Android,Less than 2 hours,News / Reading,"Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Sometimes,Rewarded ads,Shopping / E-commerce,Disagree,Strongly disagree,Agree,Neutral,Yes,Banner ads,Morning,No,2.0,1.0,4.0,3.0,2.5
18–24,Other,Male,iOS,2–4 hours,"Video / OTT, Shopping / E-commerce, Utility / Tools","Social Media, Shopping / E-commerce, Utility / Tools, Education",Very often,Banner ads,Shopping / E-commerce,Disagree,Disagree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,Yes,2.0,2.0,5.0,5.0,3.5
45+,Self-employed,Prefer not to say,iOS,Less than 2 hours,"Social Media, Shopping / E-commerce, News / Reading, Education","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Sometimes,Video ads,Shopping / E-commerce,Neutral,Disagree,Agree,Strongly agree,No,Sponsored content,Evening,No,3.0,2.0,4.0,5.0,3.5
25–34,Self-employed,Female,iOS,More than 6 hours,"Video / OTT, Gaming, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Utility / Tools, Education",Rarely,Unskippable ads,Video / OTT,Disagree,Strongly disagree,Neutral,Strongly agree,Yes,Banner ads,Evening,Yes,2.0,1.0,3.0,5.0,2.75
45+,Self-employed,Male,iOS,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Often,Banner ads,Gaming,Disagree,Neutral,Agree,Strongly disagree,Yes,Banner ads,Evening,Yes,2.0,3.0,4.0,1.0,2.5
45+,Self-employed,Female,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Often,Video ads,Gaming,Disagree,Strongly agree,Strongly disagree,Agree,Yes,Sponsored content,Late night,No,2.0,5.0,1.0,4.0,3.0
25–34,Working professional,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Rarely,Rewarded ads,Gaming,Disagree,Agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No,2.0,4.0,5.0,5.0,4.0
25–34,Other,Female,Android,4–6 hours,"Video / OTT, Gaming, Shopping / E-commerce",,Very often,Banner ads,Utility / Tools,Agree,Strongly disagree,Neutral,Agree,No,,Late night,No,4.0,1.0,3.0,4.0,3.0
18–24,Working professional,Male,iOS,Less than 2 hours,"News / Reading, Utility / Tools, Education","Gaming, Shopping / E-commerce, Utility / Tools, Education",Very often,Unskippable ads,Social Media,Strongly disagree,Neutral,Agree,Disagree,Yes,Banner ads,Afternoon,No,1.0,3.0,4.0,2.0,2.5
Below 18,Working professional,Male,Android,2–4 hours,"Social Media, Gaming, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Utility / Tools, Education",Very often,Sponsored posts,Shopping / E-commerce,Strongly agree,Strongly disagree,Agree,Disagree,Yes,,Evening,No,5.0,1.0,4.0,2.0,3.0
45+,Working professional,Female,iOS,4–6 hours,"Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education","Video / OTT, Gaming, Utility / Tools, Education",Rarely,Banner ads,Video / OTT,Neutral,Neutral,Neutral,Agree,Yes,Banner ads,Late night,Yes,3.0,3.0,3.0,4.0,3.25
35–44,Working professional,Male,Android,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Education",Rarely,Rewarded ads,News / Reading,Strongly agree,Agree,Agree,Disagree,Yes,Banner ads,Late night,Yes,5.0,4.0,4.0,2.0,3.75
18–24,Self-employed,Male,Android,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Education","Video / OTT, News / Reading",Often,Sponsored posts,Education,Agree,Agree,Strongly disagree,Neutral,No,Rewarded ads,Late night,Yes,4.0,4.0,1.0,3.0,3.0
35–44,Self-employed,Female,Android,More than 6 hours,"Social Media, Education","Video / OTT, Gaming, Shopping / E-commerce",Sometimes,Banner ads,Education,Strongly agree,Agree,Strongly agree,Strongly disagree,No,Banner ads,Afternoon,Yes,5.0,4.0,5.0,1.0,3.75
Below 18,Other,Female,Android,2–4 hours,News / Reading,"Video / OTT, Gaming, News / Reading, Education",Sometimes,Video ads,Video / OTT,Strongly agree,Disagree,Agree,Strongly agree,Yes,Rewarded ads,Afternoon,No,5.0,2.0,4.0,5.0,4.0
Below 18,Working professional,Female,iOS,2–4 hours,"Gaming, Shopping / E-commerce, News / Reading","Gaming, Shopping / E-commerce",Very often,Rewarded ads,Gaming,Neutral,Strongly agree,Agree,Strongly agree,No,Sponsored content,Morning,Yes,3.0,5.0,4.0,5.0,4.25
18–24,Self-employed,Male,iOS,4–6 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Gaming, News / Reading, Utility / Tools, Education",Often,Video ads,Utility / Tools,Strongly agree,Disagree,Agree,Strongly disagree,Yes,Banner ads,Evening,Yes,5.0,2.0,4.0,1.0,3.0
25–34,Working professional,Male,Android,More than 6 hours,"Gaming, Shopping / E-commerce","Video / OTT, Gaming, Shopping / E-commerce, Education",Very often,Unskippable ads,News / Reading,Agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,,Afternoon,No,4.0,1.0,1.0,5.0,2.75
18–24,Student,Male,Android,2–4 hours,"Gaming, News / Reading, Utility / Tools",Social Media,Very often,Video ads,Social Media,Strongly agree,Strongly disagree,Neutral,Neutral,No,Rewarded ads,Morning,No,5.0,1.0,3.0,3.0,3.0
45+,Self-employed,Male,Android,4–6 hours,"Social Media, Shopping / E-commerce, Utility / Tools","Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools",Sometimes,Rewarded ads,Gaming,Agree,Agree,Agree,Neutral,Yes,,Evening,No,4.0,4.0,4.0,3.0,3.75
25–34,Self-employed,Female,iOS,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Video / OTT, Gaming, News / Reading, Utility / Tools",Very often,Sponsored posts,Gaming,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,No,Rewarded ads,Late night,Yes,5.0,5.0,1.0,5.0,4.0
Below 18,Student,Female,Android,Less than 2 hours,"Video / OTT, Shopping / E-commerce, Education","Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Very often,Unskippable ads,Gaming,Neutral,Disagree,Neutral,Neutral,No,Banner ads,Afternoon,No,3.0,2.0,3.0,3.0,2.75
25–34,Other,Male,iOS,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education","Utility / Tools, Education",Sometimes,Sponsored posts,Education,Disagree,Disagree,Strongly agree,Disagree,Yes,Banner ads,Late night,No,2.0,2.0,5.0,2.0,2.75
18–24,Other,Prefer not to say,iOS,Less than 2 hours,"Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce",Sometimes,Video ads,Video / OTT,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,No,Sponsored content,Late night,No,1.0,1.0,1.0,3.0,1.5
Below 18,Other,Prefer not to say,Android,4–6 hours,"Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools","Social Media, Video / OTT, Gaming, News / Reading, Utility / Tools, Education",Often,Sponsored posts,Shopping / E-commerce,Strongly agree,Strongly disagree,Strongly agree,Neutral,Yes,Rewarded ads,Evening,Yes,5.0,1.0,5.0,3.0,3.5
25–34,Working professional,Male,iOS,More than 6 hours,"Shopping / E-commerce, News / Reading","Video / OTT, Gaming, News / Reading, Utility / Tools, Education",Very often,Sponsored posts,Social Media,Neutral,Neutral,Strongly disagree,Neutral,No,Skippable video ads,Afternoon,Yes,3.0,3.0,1.0,3.0,2.5
35–44,Working professional,Female,Android,4–6 hours,"Video / OTT, News / Reading, Utility / Tools","Social Media, News / Reading, Utility / Tools",Often,Banner ads,Gaming,Strongly disagree,Strongly agree,Neutral,Strongly disagree,No,,Afternoon,No,1.0,5.0,3.0,1.0,2.5
45+,Working professional,Female,Android,Less than 2 hours,"Social Media, Video / OTT, Gaming, Utility / Tools","Social Media, Gaming, Utility / Tools",Very often,Rewarded ads,Gaming,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,No,Banner ads,Late night,Yes,1.0,5.0,1.0,1.0,2.0
45+,Self-employed,Female,Android,Less than 2 hours,"Social Media, Gaming, News / Reading","Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Sometimes,Rewarded ads,Education,Neutral,Disagree,Disagree,Strongly agree,Yes,Skippable video ads,Afternoon,No,3.0,2.0,2.0,5.0,3.0
45+,Other,Male,Android,Less than 2 hours,"Social Media, Gaming, Utility / Tools","Video / OTT, News / Reading",Sometimes,Unskippable ads,Shopping / E-commerce,Agree,Neutral,Agree,Neutral,No,Banner ads,Morning,No,4.0,3.0,4.0,3.0,3.5
45+,Self-employed,Male,iOS,4–6 hours,"Social Media, Video / OTT, Gaming, Utility / Tools","Video / OTT, News / Reading, Utility / Tools, Education",Often,Sponsored posts,News / Reading,Strongly agree,Agree,Neutral,Neutral,Yes,Sponsored content,Evening,Yes,5.0,4.0,3.0,3.0,3.75
45+,Working professional,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming","Video / OTT, Gaming, Education",Sometimes,Unskippable ads,Social Media,Strongly disagree,Agree,Disagree,Neutral,Yes,Sponsored content,Afternoon,Yes,1.0,4.0,2.0,3.0,2.5
35–44,Self-employed,Female,Android,Less than 2 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Gaming, News / Reading, Education",Sometimes,Rewarded ads,Shopping / E-commerce,Disagree,Strongly disagree,Agree,Strongly agree,Yes,Banner ads,Late night,No,2.0,1.0,4.0,5.0,3.0
35–44,Other,Male,iOS,More than 6 hours,"Social Media, Video / OTT","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Banner ads,Utility / Tools,Strongly disagree,Disagree,Agree,Strongly disagree,Yes,Rewarded ads,Afternoon,Yes,1.0,2.0,4.0,1.0,2.0
Below 18,Other,Male,iOS,4–6 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Video / OTT, News / Reading",Rarely,Banner ads,Utility / Tools,Disagree,Agree,Disagree,Strongly disagree,No,,Afternoon,Yes,2.0,4.0,2.0,1.0,2.25
35–44,Self-employed,Male,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, Education","Video / OTT, Gaming, News / Reading, Utility / Tools, Education",Very often,Rewarded ads,Utility / Tools,Strongly disagree,Disagree,Neutral,Strongly disagree,Yes,Skippable video ads,Morning,No,1.0,2.0,3.0,1.0,1.75
18–24,Student,Female,Android,Less than 2 hours,"Social Media, Gaming, Utility / Tools","News / Reading, Utility / Tools",Very often,Video ads,Video / OTT,Agree,Agree,Agree,Strongly disagree,No,Skippable video ads,Late night,No,4.0,4.0,4.0,1.0,3.25
45+,Working professional,Female,Android,Less than 2 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Very often,Sponsored posts,News / Reading,Neutral,Strongly disagree,Neutral,Disagree,No,Rewarded ads,Evening,No,3.0,1.0,3.0,2.0,2.25
Below 18,Working professional,Female,iOS,Less than 2 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Gaming, Shopping / E-commerce, Utility / Tools",Often,Video ads,Video / OTT,Strongly agree,Strongly agree,Agree,Neutral,No,Skippable video ads,Afternoon,Yes,5.0,5.0,4.0,3.0,4.25
Below 18,Other,Prefer not to say,iOS,Less than 2 hours,"Video / OTT, Shopping / E-commerce, Education","Gaming, Education",Often,Sponsored posts,Education,Agree,Neutral,Strongly disagree,Neutral,Yes,,Afternoon,Yes,4.0,3.0,1.0,3.0,2.75
45+,Other,Male,Android,4–6 hours,"Social Media, Video / OTT, Education","Social Media, News / Reading, Education",Often,Banner ads,Video / OTT,Disagree,Neutral,Neutral,Agree,No,Skippable video ads,Late night,No,2.0,3.0,3.0,4.0,3.0
18–24,Other,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, News / Reading, Utility / Tools","Video / OTT, Gaming, News / Reading, Education",Very often,Rewarded ads,Shopping / E-commerce,Agree,Strongly agree,Disagree,Strongly agree,No,Skippable video ads,Afternoon,No,4.0,5.0,2.0,5.0,4.0
18–24,Self-employed,Male,Android,2–4 hours,"Video / OTT, News / Reading","Gaming, News / Reading",Often,Unskippable ads,News / Reading,Neutral,Strongly disagree,Disagree,Disagree,No,Skippable video ads,Late night,No,3.0,1.0,2.0,2.0,2.0
45+,Working professional,Male,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading","Social Media, Shopping / E-commerce, News / Reading",Rarely,Video ads,Social Media,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,No,Skippable video ads,Morning,No,1.0,1.0,2.0,1.0,1.25
18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Video ads,Social Media,Neutral,Disagree,Neutral,Neutral,No,Banner ads,Late night,No,3.0,2.0,3.0,3.0,2.75
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Education","Social Media, Utility / Tools, Education",Sometimes,Banner ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,Late night,Yes,5.0,5.0,5.0,5.0,5.0
18–24,Student,Female,iOS,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Gaming",Often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Agree,No,Rewarded ads,Evening,Yes,4.0,4.0,5.0,4.0,4.25
18–24,Student,Male,Android,2–4 hours,"Video / OTT, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Utility / Tools",Very often,Unskippable ads,Shopping / E-commerce,Strongly disagree,Strongly disagree,Disagree,Neutral,No,Skippable video ads,Evening,Yes,1.0,1.0,2.0,3.0,1.75
18–24,Student,Male,iOS,4–6 hours,"Social Media, Gaming, Education","Social Media, Video / OTT, Gaming",Very often,Sponsored posts,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Banner ads,Late night,No,5.0,5.0,5.0,5.0,5.0
35–44,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools, Education","Video / OTT, Gaming, Education",Rarely,Video ads,Gaming,Disagree,Strongly disagree,Agree,Strongly agree,Yes,Skippable video ads,Evening,Yes,2.0,1.0,4.0,5.0,3.0
18–24,Working professional,Female,iOS,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Gaming, News / Reading, Utility / Tools",Sometimes,Sponsored posts,Video / OTT,Agree,Neutral,Neutral,Neutral,Yes,Sponsored content,Evening,No,4.0,3.0,3.0,3.0,3.25
18–24,Student,Female,iOS,Less than 2 hours,"News / Reading, Education","Video / OTT, Gaming, Shopping / E-commerce",Very often,Banner ads,News / Reading,Strongly agree,Disagree,Strongly agree,Agree,No,Sponsored content,Morning,No,5.0,2.0,5.0,4.0,4.0
18–24,Working professional,Prefer not to say,iOS,4–6 hours,"Social Media, Shopping / E-commerce, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Education",Very often,Video ads,Video / OTT,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Yes,Rewarded ads,Evening,Yes,5.0,2.0,1.0,1.0,2.25
18–24,Working professional,Male,Android,More than 6 hours,"Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading",Often,Rewarded ads,Gaming,Strongly disagree,Agree,Disagree,Strongly agree,No,Rewarded ads,Late night,No,1.0,4.0,2.0,5.0,3.0
35–44,Student,Female,iOS,2–4 hours,"Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Rarely,Rewarded ads,Video / OTT,Strongly disagree,Strongly disagree,Strongly disagree,Agree,No,,Evening,Yes,1.0,1.0,1.0,4.0,1.75
45+,Self-employed,Prefer not to say,Android,2–4 hours,"Video / OTT, Gaming, News / Reading",Gaming,Sometimes,Banner ads,Social Media,Strongly disagree,Agree,Neutral,Strongly disagree,Yes,,Late night,Yes,1.0,4.0,3.0,1.0,2.25
45+,Self-employed,Male,Android,2–4 hours,"Video / OTT, Gaming","Social Media, Shopping / E-commerce, Education",Sometimes,Video ads,News / Reading,Strongly disagree,Disagree,Neutral,Agree,Yes,,Afternoon,No,1.0,2.0,3.0,4.0,2.5
25–34,Other,Prefer not to say,Android,2–4 hours,"Shopping / E-commerce, Education","Video / OTT, Shopping / E-commerce, Utility / Tools",Rarely,Video ads,News / Reading,Agree,Neutral,Neutral,Disagree,No,Rewarded ads,Late night,Yes,4.0,3.0,3.0,2.0,3.0
25–34,Working professional,Prefer not to say,Android,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Sometimes,Video ads,Education,Strongly disagree,Agree,Agree,Strongly agree,Yes,Skippable video ads,Morning,No,1.0,4.0,4.0,5.0,3.5
Below 18,Working professional,Male,Android,2–4 hours,"Video / OTT, Gaming","Video / OTT, Gaming, News / Reading",Often,Unskippable ads,Utility / Tools,Strongly disagree,Agree,Strongly agree,Disagree,No,Sponsored content,Morning,No,1.0,4.0,5.0,2.0,3.0
35–44,Self-employed,Male,Android,Less than 2 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools",Rarely,Rewarded ads,Utility / Tools,Agree,Neutral,Strongly disagree,Disagree,Yes,,Afternoon,No,4.0,3.0,1.0,2.0,2.5
45+,Other,Male,iOS,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools",News / Reading,Very often,Rewarded ads,News / Reading,Neutral,Strongly agree,Disagree,Neutral,Yes,Skippable video ads,Morning,Yes,3.0,5.0,2.0,3.0,3.25
45+,Student,Male,iOS,4–6 hours,"Gaming, Education","Video / OTT, Education",Often,Video ads,News / Reading,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,No,Sponsored content,Evening,No,5.0,5.0,1.0,1.0,3.0
45+,Other,Male,iOS,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Often,Video ads,Education,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,No,Skippable video ads,Afternoon,No,5.0,5.0,1.0,1.0,3.0
Below 18,Self-employed,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, Utility / Tools","Social Media, Video / OTT, Gaming",Often,Sponsored posts,Video / OTT,Disagree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No,2.0,5.0,5.0,5.0,4.25
25–34,Student,Male,Android,2–4 hours,"Video / OTT, Gaming, Utility / Tools","Social Media, Utility / Tools, Education",Rarely,Banner ads,Education,Strongly disagree,Neutral,Strongly agree,Disagree,No,Rewarded ads,Afternoon,Yes,1.0,3.0,5.0,2.0,2.75
45+,Student,Male,Android,Less than 2 hours,"Social Media, Utility / Tools","Video / OTT, News / Reading, Education",Rarely,Rewarded ads,Utility / Tools,Disagree,Disagree,Agree,Strongly disagree,Yes,Skippable video ads,Evening,Yes,2.0,2.0,4.0,1.0,2.25
18–24,Self-employed,Male,Android,More than 6 hours,Shopping / E-commerce,"Video / OTT, Gaming, Shopping / E-commerce",Rarely,Unskippable ads,Video / OTT,Agree,Neutral,Agree,Strongly disagree,Yes,Skippable video ads,Late night,No,4.0,3.0,4.0,1.0,3.0
45+,Student,Male,iOS,Less than 2 hours,"Social Media, Video / OTT, Gaming, News / Reading, Education","Video / OTT, Gaming, Utility / Tools, Education",Very often,Sponsored posts,Video / OTT,Disagree,Agree,Neutral,Neutral,No,Rewarded ads,Late night,No,2.0,4.0,3.0,3.0,3.0
18–24,Student,Prefer not to say,iOS,4–6 hours,"Gaming, Shopping / E-commerce, News / Reading, Education","Social Media, News / Reading, Utility / Tools",Often,Banner ads,News / Reading,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Rewarded ads,Morning,Yes,5.0,5.0,4.0,5.0,4.75
35–44,Self-employed,Prefer not to say,iOS,More than 6 hours,"Social Media, News / Reading, Education","Social Media, Video / OTT, Education",Sometimes,Rewarded ads,Social Media,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,No,Rewarded ads,Afternoon,Yes,1.0,1.0,3.0,1.0,1.5
25–34,Student,Male,Android,Less than 2 hours,"Video / OTT, Gaming","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Education",Very often,Banner ads,News / Reading,Strongly disagree,Strongly agree,Neutral,Strongly agree,No,Skippable video ads,Evening,No,1.0,5.0,3.0,5.0,3.5
18–24,Self-employed,Female,Android,Less than 2 hours,"Gaming, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Shopping / E-commerce, Utility / Tools",Often,Banner ads,Video / OTT,Neutral,Disagree,Strongly agree,Agree,Yes,Skippable video ads,Evening,Yes,3.0,2.0,5.0,4.0,3.5
Below 18,Student,Prefer not to say,iOS,4–6 hours,"News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools",Rarely,Video ads,Video / OTT,Strongly agree,Strongly agree,Neutral,Disagree,No,Rewarded ads,Afternoon,No,5.0,5.0,3.0,2.0,3.75
18–24,Self-employed,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading, Utility / Tools","Gaming, Shopping / E-commerce",Rarely,Unskippable ads,News / Reading,Agree,Agree,Agree,Strongly disagree,No,Banner ads,Afternoon,No,4.0,4.0,4.0,1.0,3.25
25–34,Self-employed,Prefer not to say,iOS,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools, Education","Social Media, News / Reading, Utility / Tools",Sometimes,Rewarded ads,Social Media,Neutral,Strongly agree,Agree,Disagree,No,Sponsored content,Evening,No,3.0,5.0,4.0,2.0,3.5
Below 18,Student,Prefer not to say,Android,More than 6 hours,"Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Unskippable ads,Gaming,Neutral,Agree,Neutral,Strongly agree,Yes,Banner ads,Evening,No,3.0,4.0,3.0,5.0,3.75
35–44,Other,Prefer not to say,iOS,Less than 2 hours,"Video / OTT, Shopping / E-commerce, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools, Education",Sometimes,Sponsored posts,Utility / Tools,Neutral,Disagree,Agree,Agree,No,,Morning,No,3.0,2.0,4.0,4.0,3.25
18–24,Other,Female,Android,Less than 2 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education","Video / OTT, Shopping / E-commerce, News / Reading",Very often,Video ads,Social Media,Disagree,Disagree,Agree,Strongly agree,Yes,Skippable video ads,Afternoon,Yes,2.0,2.0,4.0,5.0,3.25
Below 18,Student,Female,iOS,More than 6 hours,"Video / OTT, Utility / Tools","Gaming, Education",Sometimes,Rewarded ads,Video / OTT,Disagree,Disagree,Strongly disagree,Disagree,No,Skippable video ads,Late night,No,2.0,2.0,1.0,2.0,1.75
Below 18,Student,Prefer not to say,iOS,4–6 hours,"News / Reading, Utility / Tools","Social Media, Gaming, Shopping / E-commerce, Education",Often,Unskippable ads,Utility / Tools,Disagree,Neutral,Neutral,Strongly agree,Yes,Skippable video ads,Afternoon,Yes,2.0,3.0,3.0,5.0,3.25
18–24,Self-employed,Male,Android,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Gaming, Shopping / E-commerce",Very often,Unskippable ads,Shopping / E-commerce,Disagree,Strongly disagree,Strongly agree,Agree,Yes,Rewarded ads,Afternoon,No,2.0,1.0,5.0,4.0,3.0
45+,Student,Male,iOS,Less than 2 hours,"Video / OTT, Utility / Tools, Education","Social Media, Gaming, Utility / Tools",Very often,Rewarded ads,Utility / Tools,Agree,Neutral,Strongly disagree,Disagree,Yes,Sponsored content,Late night,No,4.0,3.0,1.0,2.0,2.5
35–44,Working professional,Prefer not to say,Android,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce",News / Reading,Often,Sponsored posts,News / Reading,Strongly disagree,Neutral,Strongly agree,Neutral,No,Rewarded ads,Afternoon,Yes,1.0,3.0,5.0,3.0,3.0
45+,Working professional,Female,Android,4–6 hours,"Gaming, Education","Social Media, Video / OTT, Gaming",Often,Rewarded ads,Gaming,Disagree,Agree,Strongly agree,Disagree,Yes,Skippable video ads,Morning,No,2.0,4.0,5.0,2.0,3.25
18–24,Self-employed,Female,Android,Less than 2 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools",Shopping / E-commerce,Very often,Banner ads,Social Media,Neutral,Strongly agree,Disagree,Neutral,Yes,Sponsored content,Afternoon,No,3.0,5.0,2.0,3.0,3.25
